time_h,T_air_C,T_out_C
1,9.5860,10.4917
2,8.8857,9.7458
3,8.3736,9.2967
4,7.9949,8.7442
5,7.3612,8.3492
6,7.3445,8.4525
7,7.5604,8.3967
8,7.6415,8.4033
9,8.7540,9.0067
10,11.6384,9.8575
11,14.8283,11.9267
12,17.9716,14.0592
13,19.8237,15.1083
14,19.8244,14.2783
15,19.4249,13.3558
16,19.4219,15.1233
17,17.9261,16.2967
18,15.4921,15.9475
19,15.0079,15.5458
20,14.5626,15.0967
21,13.2641,14.3917
22,12.8583,13.7983
23,11.6229,12.6833
24,10.1814,11.3442
25,9.8220,11.2033
26,9.4717,10.1800
27,8.4733,8.7458
28,7.9898,8.3475
29,7.8261,8.0983
30,7.6395,7.9492
31,7.7469,8.8150
32,8.0200,9.3950
33,8.8459,9.6083
34,11.8785,11.3200
35,16.0097,13.7200
36,19.8120,14.2392
37,22.3283,13.7525
38,23.5711,15.6792
39,23.9214,17.4000
40,22.0258,17.0950
41,18.9179,16.2917
42,15.7120,15.3425
43,13.9513,14.1883
44,12.6453,13.2458
45,12.0460,12.5933
46,11.5516,11.8950
47,10.9570,11.4983
48,10.3426,10.8917
49,9.8214,10.1967
50,9.8430,9.7458
51,9.8610,9.5000
52,9.5958,9.3983
53,9.3441,9.0967
54,8.9677,9.3067
55,9.0495,10.3100
56,9.2151,10.7983
57,9.7783,10.3950
58,12.1943,11.1675
59,16.2193,13.6233
60,19.9501,16.1692
61,22.5155,17.3508
62,23.2945,17.1967
63,18.1333,17.0508
64,14.5507,17.4558
65,14.0082,17.5967
66,12.5625,16.2817
67,11.6589,14.1325
68,10.9291,13.0492
69,11.2117,13.2542
70,11.6547,13.7542
71,11.3265,14.2542
72,11.5033,14.5000
73,11.9367,14.2967
74,12.3487,14.1508
75,12.1895,14.3017
76,11.4998,12.9258
77,10.3510,11.5000
78,10.1084,11.3983
79,9.8405,11.1983
80,9.8704,11.2017
81,11.4775,13.3333
82,12.9651,14.2325
83,14.1688,16.0467
84,16.8615,18.9525
85,17.2906,18.9983
86,17.5242,19.1542
87,17.4503,19.5525
88,16.9209,19.3442
89,16.0722,18.8475
90,15.1235,17.5308
91,14.4421,15.5358
92,14.0247,14.3950
93,13.5944,13.9475
94,13.1517,13.6475
95,12.7339,13.1442
96,12.3507,12.8000
97,11.7679,12.3425
98,10.5465,11.6967
99,10.1210,11.2458
100,9.8479,10.8475
101,9.4525,10.4967
102,9.1995,10.3000
103,9.1733,10.5033
104,9.2473,10.5983
105,10.0509,10.8050
106,12.7931,12.2183
107,16.9742,14.6217
108,21.3937,17.1708
109,24.6500,18.5017
110,25.6270,18.3967
111,25.2323,18.3525
112,23.2797,18.1442
113,19.9789,17.5458
114,16.5027,16.4867
115,14.6209,15.5475
116,13.4589,14.5358
117,12.6189,13.7508
118,12.3532,13.1900
119,11.8620,12.3458
120,11.0299,11.5408
121,10.4181,10.8475
122,10.0820,10.5983
123,9.7122,10.2967
124,9.2135,9.2867
125,8.6753,8.4492
126,8.6415,9.2642
127,8.8302,10.1000
128,8.5294,9.6425
129,8.9269,9.7083
130,12.1580,11.3692
131,16.9187,14.7367
132,21.3916,15.6292
133,23.8406,15.9758
134,25.1810,17.6017
135,25.0323,17.7508
136,23.2710,18.1558
137,20.2189,17.8900
138,16.6155,15.9275
139,14.3001,13.7867
140,13.1328,12.7458
141,12.6241,12.4492
142,11.9538,12.1458
143,11.3635,11.6967
144,10.6074,10.9917
145,10.2079,10.1442
146,9.7783,9.6475
147,9.5180,9.7542
148,9.4314,9.3900
149,9.0762,9.1050
150,8.8258,9.1967
151,8.5064,8.8983
152,8.1917,8.5458
153,8.5515,8.7575
154,11.5291,10.2167
155,16.1121,13.4875
156,20.6174,16.3100
157,22.8932,15.6292
158,24.1893,16.1283
159,24.5114,17.5458
160,22.6175,17.3000
161,19.3972,17.0458
162,16.0163,15.8850
163,14.1183,14.1867
164,13.0337,13.0950
165,12.1370,11.2242
166,10.8832,9.2425
167,10.1914,8.5967
168,9.4261,8.2475
