time_h,T_air_C,T_out_C
1,11.2405,9.5000
2,11.1962,9.1000
3,10.6683,8.4000
4,10.3333,8.3000
5,10.3632,8.6000
6,10.3461,8.2000
7,10.3527,8.6000
8,11.7779,9.4000
9,15.0274,10.3000
10,19.4512,13.5000
11,23.3964,14.6000
12,25.5403,15.6000
13,25.4615,13.0000
14,25.0930,13.7000
15,24.1092,16.5000
16,21.2944,16.1000
17,18.9647,15.8000
18,18.0515,15.3000
19,16.7279,14.9000
20,16.0316,13.9000
21,15.3418,13.7000
22,14.1384,11.7000
23,13.3221,11.0000
24,13.0749,11.4000
25,12.2515,9.0000
26,11.6209,8.5000
27,11.3227,8.2000
28,11.0732,8.0000
29,10.8866,7.9000
30,11.0735,9.7000
31,11.0313,9.1000
32,12.2983,10.1000
33,16.0162,12.5000
34,21.2777,14.9000
35,26.0546,13.6000
36,29.3647,13.9000
37,31.1964,17.4000
38,30.4269,17.4000
39,27.4842,16.8000
40,23.4111,15.8000
41,20.2488,14.9000
42,18.0155,13.5000
43,16.6957,13.0000
44,15.9191,12.2000
45,15.1952,11.6000
46,14.5364,11.4000
47,13.8968,10.4000
48,13.5056,10.0000
49,13.3907,9.5000
50,13.0902,9.5000
51,12.8711,9.3000
52,12.4706,8.9000
53,12.2866,9.7000
54,12.4253,10.9000
55,12.4018,10.7000
56,13.1978,10.1000
57,16.5540,12.2000
58,21.4267,15.0000
59,26.4019,17.3000
60,29.2472,17.4000
61,30.0575,17.0000
62,29.2395,17.1000
63,26.9890,17.8000
64,23.7483,17.4000
65,20.7362,15.2000
66,18.6667,13.1000
67,17.8064,13.0000
68,17.0349,13.5000
69,16.8132,14.0000
70,17.0651,14.5000
71,16.8345,14.5000
72,16.9815,14.1000
73,16.9539,14.2000
74,16.4357,14.4000
75,15.2745,11.5000
76,15.0078,11.5000
77,14.6095,11.3000
78,14.0475,11.1000
79,13.7833,11.3000
80,15.5770,15.3000
81,18.1307,13.2000
82,23.3982,18.8000
83,27.8250,19.1000
84,30.1725,18.9000
85,31.0869,19.4000
86,30.4716,19.7000
87,27.9529,19.0000
88,24.8080,18.7000
89,21.7146,16.4000
90,19.4751,14.7000
91,18.2432,14.1000
92,17.2251,13.8000
93,16.4034,13.5000
94,15.9831,12.8000
95,15.4242,12.8000
96,14.9690,11.9000
97,14.4836,11.5000
98,14.1066,11.0000
99,13.7346,10.7000
100,13.3661,10.3000
101,13.1307,10.3000
102,13.0608,10.7000
103,13.0002,10.5000
104,14.0505,11.1000
105,17.4235,13.3000
106,22.6192,15.9000
107,28.1395,18.4000
108,31.8677,18.6000
109,33.1586,18.2000
110,32.2169,18.5000
111,29.1881,17.8000
112,25.0481,17.3000
113,21.6789,15.7000
114,19.5820,15.4000
115,18.1078,13.7000
116,17.2353,13.8000
117,16.6994,12.6000
118,15.9582,12.1000
119,15.1603,11.0000
120,14.6274,10.7000
121,14.2168,10.5000
122,13.7961,10.1000
123,13.1367,8.5000
124,12.7071,8.4000
125,12.8392,10.1000
126,12.8013,10.1000
127,12.3502,9.2000
128,13.3433,10.2000
129,16.8868,12.5000
130,22.7876,16.9000
131,27.7550,14.4000
132,31.4281,17.5000
133,32.9508,17.7000
134,32.0172,17.8000
135,29.2995,18.5000
136,25.1255,17.3000
137,21.5460,14.6000
138,19.1417,13.0000
139,18.0051,12.5000
140,17.0150,12.4000
141,16.3481,11.9000
142,15.5485,11.5000
143,14.9725,10.5000
144,14.4737,9.8000
145,13.9715,9.5000
146,13.8390,10.0000
147,13.4164,8.8000
148,13.1599,9.4000
149,12.8014,9.0000
150,12.5793,8.8000
151,12.1412,8.3000
152,13.2828,9.2000
153,16.6478,11.2000
154,22.3964,15.7000
155,27.7094,16.9000
156,30.6943,14.4000
157,32.5588,17.8000
158,31.7746,17.3000
159,28.8797,17.3000
160,24.7273,16.8000
161,21.4057,15.0000
162,19.1214,13.4000
163,17.9288,12.8000
164,16.5796,9.7000
165,15.6872,8.8000
166,14.8044,8.4000
167,14.0654,8.1000
168,13.6010,8.1000
