time_h,T_air_C,T_out_C
1,9.4880,10.4917
2,8.8066,9.7458
3,8.3007,9.2967
4,7.9134,8.7442
5,7.2973,8.3492
6,7.2935,8.4525
7,7.5097,8.3967
8,7.5909,8.4033
9,8.7358,9.0067
10,11.8872,9.8575
11,14.9783,11.9267
12,18.0670,14.0592
13,19.6843,15.1083
14,19.5432,14.2783
15,19.1375,13.3558
16,19.4041,15.1233
17,18.1167,16.2967
18,15.5614,15.9475
19,15.0843,15.5458
20,14.5531,15.0967
21,13.3020,14.3917
22,12.8747,13.7983
23,11.5883,12.6833
24,10.1237,11.3442
25,9.7752,11.2033
26,9.4181,10.1800
27,8.3901,8.7458
28,7.8977,8.3475
29,7.7398,8.0983
30,7.5483,7.9492
31,7.6927,8.8150
32,8.0025,9.3950
33,8.9511,9.6083
34,12.4044,11.3200
35,16.7524,13.7200
36,20.3591,14.2392
37,22.5678,13.7525
38,23.6735,15.6792
39,24.2112,17.4000
40,22.4863,17.0950
41,19.3566,16.2917
42,15.8902,15.3425
43,14.0941,14.1883
44,12.7894,13.2458
45,12.1633,12.5933
46,11.6166,11.8950
47,11.0127,11.4983
48,10.3840,10.8917
49,9.8355,10.1967
50,9.8442,9.7458
51,9.8418,9.5000
52,9.5725,9.3983
53,9.3015,9.0967
54,8.9488,9.3067
55,9.0797,10.3100
56,9.2537,10.7983
57,9.9091,10.3950
58,12.8708,11.1675
59,16.9500,13.6233
60,20.6074,16.1692
61,22.7373,17.3508
62,23.3148,17.1967
63,17.9434,17.0508
64,14.3070,17.4558
65,13.8099,17.5967
66,12.3729,16.2817
67,11.4540,14.1325
68,10.7302,13.0492
69,11.0902,13.2542
70,11.5403,13.7542
71,11.1534,14.2542
72,11.3373,14.5000
73,11.8105,14.2967
74,12.2264,14.1508
75,12.0720,14.3017
76,11.3377,12.9258
77,10.1822,11.5000
78,9.9483,11.3983
79,9.6859,11.1983
80,9.7289,11.2017
81,11.4413,13.3333
82,12.8684,14.2325
83,14.1158,16.0467
84,16.7437,18.9525
85,17.0773,18.9983
86,17.2784,19.1542
87,17.2299,19.5525
88,16.7597,19.3442
89,15.9659,18.8475
90,14.9702,17.5308
91,14.3225,15.5358
92,13.8992,14.3950
93,13.4684,13.9475
94,13.0224,13.6475
95,12.5974,13.1442
96,12.2183,12.8000
97,11.6487,12.3425
98,10.5142,11.6967
99,10.0842,11.2458
100,9.8125,10.8475
101,9.4122,10.4967
102,9.1626,10.3000
103,9.1526,10.5033
104,9.2327,10.5983
105,10.1544,10.8050
106,13.4869,12.2183
107,17.7333,14.6217
108,22.1270,17.1708
109,25.1437,18.5017
110,25.8389,18.3967
111,25.5768,18.3525
112,23.7610,18.1442
113,20.5103,17.5458
114,16.8101,16.4867
115,14.7515,15.5475
116,13.5989,14.5358
117,12.7148,13.7508
118,12.4465,13.1900
119,11.9178,12.3458
120,11.0654,11.5408
121,10.4368,10.8475
122,10.1023,10.5983
123,9.7230,10.2967
124,9.1940,9.2867
125,8.6281,8.4492
126,8.6365,9.2642
127,8.8479,10.1000
128,8.5379,9.6425
129,9.0431,9.7083
130,12.7544,11.3692
131,17.7540,14.7367
132,22.1363,15.6292
133,24.1215,15.9758
134,25.3655,17.6017
135,25.2893,17.7508
136,23.7259,18.1558
137,20.7872,17.8900
138,16.7820,15.9275
139,14.4757,13.7867
140,13.2285,12.7458
141,12.7025,12.4492
142,12.0165,12.1458
143,11.3962,11.6967
144,10.6441,10.9917
145,10.2191,10.1442
146,9.7638,9.6475
147,9.5215,9.7542
148,9.4240,9.3900
149,9.0548,9.1050
150,8.8134,9.1967
151,8.4912,8.8983
152,8.1652,8.5458
153,8.6402,8.7575
154,12.1201,10.2167
155,16.9143,13.4875
156,21.2508,16.3100
157,23.2079,15.6292
158,24.3254,16.1283
159,24.8304,17.5458
160,23.1431,17.3000
161,19.9527,17.0458
162,16.3312,15.8850
163,14.2191,14.1867
164,13.1595,13.0950
165,12.1457,11.2242
166,10.8196,9.2425
167,10.1005,8.5967
168,9.3327,8.2475
