time_h,T_air_C,T_out_C
1,9.1656,10.4917
2,8.5396,9.7458
3,8.0627,9.2967
4,7.6611,8.7442
5,7.0790,8.3492
6,7.1181,8.4525
7,7.3293,8.3967
8,7.4064,8.4033
9,8.3689,9.0067
10,11.1710,9.8575
11,14.2115,11.9267
12,17.3084,14.0592
13,18.8294,15.1083
14,18.4053,14.2783
15,17.6882,13.3558
16,18.2683,15.1233
17,17.3900,16.2967
18,15.1493,15.9475
19,14.8052,15.5458
20,14.2536,15.0967
21,13.0539,14.3917
22,12.6002,13.7983
23,11.3060,12.6833
24,9.7594,11.3442
25,9.5032,11.2033
26,9.1332,10.1800
27,8.0370,8.7458
28,7.5452,8.3475
29,7.4063,8.0983
30,7.2194,7.9492
31,7.4936,8.8150
32,7.9412,9.3950
33,8.6716,9.6083
34,12.0624,11.3200
35,16.6596,13.7200
36,20.1559,14.2392
37,22.0543,13.7525
38,23.1770,15.6792
39,23.6456,17.4000
40,21.7008,17.0950
41,18.6157,16.2917
42,15.5579,15.3425
43,13.8697,14.1883
44,12.5521,13.2458
45,11.9475,12.5933
46,11.3931,11.8950
47,10.8129,11.4983
48,10.1832,10.8917
49,9.6113,10.1967
50,9.6124,9.7458
51,9.5710,9.5000
52,9.3395,9.3983
53,9.0532,9.0967
54,8.7636,9.3067
55,9.0229,10.3100
56,9.3000,10.7983
57,9.6933,10.3950
58,12.4151,11.1675
59,16.6917,13.6233
60,20.4623,16.1692
61,22.3087,17.3508
62,22.5665,17.1967
63,16.8757,17.0508
64,13.3700,17.4558
65,12.9249,17.5967
66,11.6204,16.2817
67,10.7504,14.1325
68,10.0596,13.0492
69,10.6597,13.2542
70,11.1005,13.7542
71,10.6334,14.2542
72,10.8414,14.5000
73,11.3947,14.2967
74,11.8010,14.1508
75,11.6656,14.3017
76,10.8361,12.9258
77,9.6777,11.5000
78,9.4426,11.3983
79,9.1905,11.1983
80,9.2658,11.2017
81,11.0487,13.3333
82,12.2028,14.2325
83,13.4939,16.0467
84,16.0419,18.9525
85,16.3118,18.9983
86,16.4814,19.1542
87,16.4057,19.5525
88,15.9367,19.3442
89,15.2015,18.8475
90,14.3448,17.5308
91,13.7586,15.5358
92,13.3696,14.3950
93,12.9527,13.9475
94,12.5225,13.6475
95,12.0962,13.1442
96,11.7317,12.8000
97,11.2278,12.3425
98,10.3102,11.6967
99,9.9047,11.2458
100,9.6297,10.8475
101,9.2372,10.4967
102,9.0123,10.3000
103,9.0740,10.5033
104,9.1970,10.5983
105,9.9233,10.8050
106,13.0947,12.2183
107,17.5879,14.6217
108,22.2652,17.1708
109,25.3319,18.5017
110,25.6522,18.3967
111,25.0089,18.3525
112,23.0202,18.1442
113,19.8579,17.5458
114,16.5420,16.4867
115,14.6091,15.5475
116,13.4418,14.5358
117,12.5522,13.7508
118,12.3256,13.1900
119,11.7644,12.3458
120,10.9109,11.5408
121,10.2716,10.8475
122,9.9520,10.5983
123,9.5767,10.2967
124,9.0041,9.2867
125,8.3878,8.4492
126,8.4823,9.2642
127,8.7952,10.1000
128,8.4573,9.6425
129,8.7693,9.7083
130,12.4069,11.3692
131,17.7911,14.7367
132,22.0736,15.6292
133,23.7572,15.9758
134,24.9916,17.6017
135,24.5628,17.7508
136,22.9529,18.1558
137,20.1639,17.8900
138,16.4367,15.9275
139,14.0849,13.7867
140,12.8403,12.7458
141,12.3735,12.4492
142,11.7944,12.1458
143,11.1750,11.6967
144,10.4282,10.9917
145,9.9617,10.1442
146,9.4930,9.6475
147,9.2965,9.7542
148,9.1833,9.3900
149,8.8272,9.1050
150,8.6377,9.1967
151,8.3139,8.8983
152,7.9706,8.5458
153,8.3007,8.7575
154,11.6203,10.2167
155,16.7474,13.4875
156,21.2772,16.3100
157,22.8995,15.6292
158,23.8826,16.1283
159,24.2299,17.5458
160,22.3547,17.3000
161,19.3336,17.0458
162,16.0744,15.8850
163,13.9992,14.1867
164,12.9136,13.0950
165,11.7084,11.2242
166,10.1463,9.2425
167,9.4221,8.5967
168,8.7736,8.2475
