time_h,T_air_C,T_out_C
1,5.1157,6.1783
2,4.1602,4.9508
3,4.0957,5.0508
4,3.9664,5.0492
5,3.8793,5.0000
6,4.1206,5.1017
7,4.3084,5.4542
8,4.6450,5.9542
9,4.9253,6.3525
10,5.4979,6.8558
11,6.5831,7.4542
12,7.6413,7.9033
13,8.2134,8.0492
14,8.0631,7.8983
15,7.7991,7.7492
16,7.2635,7.8525
17,6.7533,7.9492
18,6.5066,7.9000
19,6.3297,7.7475
20,6.0899,7.6000
21,5.6592,7.1933
22,5.0513,6.9017
23,5.3084,6.9492
24,5.3144,7.2050
25,5.4732,7.3983
26,5.2499,7.4525
27,5.0327,7.6000
28,5.3309,7.5492
29,5.4515,7.6017
30,5.8613,7.8017
31,6.2546,7.9000
32,6.4109,8.2050
33,6.7027,8.5508
34,6.9868,8.4983
35,7.4230,8.6542
36,8.0975,9.1542
37,8.6886,9.5017
38,8.9314,9.8542
39,8.9527,10.2525
40,9.1221,10.8067
41,9.2190,11.5050
42,9.1355,11.8000
43,9.0999,11.9017
44,9.2531,12.5083
45,9.8003,13.1525
46,10.1697,13.4525
47,10.3900,13.6000
48,10.5863,13.7017
49,10.9835,14.0033
50,11.2258,13.7425
51,10.6638,12.8933
52,10.0885,11.8900
53,9.1787,10.7917
54,8.2002,10.0458
55,7.9059,9.6983
56,7.6629,9.4475
57,7.1716,8.9950
58,7.3239,8.8525
59,8.1367,8.9492
60,8.4413,9.0017
61,8.9156,9.2525
62,9.7480,9.5017
63,9.2319,9.7017
64,8.5245,9.5967
65,7.5914,9.1967
66,6.9483,8.6442
67,6.5535,8.1983
68,6.3198,8.2525
69,6.4932,8.5017
70,6.4674,8.6508
71,6.4336,8.7508
72,6.6815,8.8508
73,6.7494,8.9000
74,6.8386,8.7983
75,7.0130,8.7000
76,6.9142,8.5983
77,6.9343,8.4492
78,7.2391,8.6033
79,7.4642,8.7492
80,7.5052,8.8017
81,7.5939,9.1542
82,7.9564,9.6542
83,8.5622,10.1542
84,9.2524,10.5017
85,9.8629,11.0067
86,10.3550,11.5017
87,10.5068,11.7017
88,10.4129,12.0033
89,10.2824,12.0475
90,10.0770,11.9508
91,10.0297,12.1017
92,10.0682,12.2000
93,10.0832,12.2000
94,10.0807,12.2000
95,10.0633,12.2000
96,9.9671,11.9458
97,9.7696,11.4967
98,9.6310,11.3508
99,9.5823,11.3492
100,9.5123,11.1983
101,9.4210,11.0492
102,9.2729,10.7967
103,9.0183,10.5492
104,8.8676,10.2967
105,8.6580,10.0492
106,8.6761,10.0000
107,9.0396,9.8475
108,9.3159,9.5475
109,9.4400,9.1967
110,9.3796,9.0508
111,9.2724,9.2017
112,9.0320,9.1475
113,8.5922,9.0000
114,8.3195,9.0000
115,8.2551,9.0000
116,8.2672,9.1017
117,8.3370,9.3525
118,8.5534,9.7033
119,8.8682,10.2558
120,9.0232,10.6000
121,8.6017,9.7867
122,6.8999,8.2375
123,5.5740,7.1950
124,4.9892,6.8492
125,5.3161,7.0542
126,5.3784,6.8425
127,4.4813,6.4508
128,4.4332,6.2458
129,4.1859,6.1525
130,4.7575,6.3508
131,6.2068,7.0100
132,7.8590,7.9558
133,8.9434,7.7917
134,9.2605,7.7575
135,9.1354,8.3017
136,8.1622,8.1967
137,7.0578,7.7967
138,6.2314,7.1933
139,5.6285,6.6475
140,5.2144,6.3475
141,4.8370,6.0983
142,4.5105,5.8475
143,4.6729,5.5983
144,5.3221,5.5508
145,5.2655,5.3967
146,5.1158,5.2000
147,4.5062,4.7933
148,3.0436,3.8408
149,1.6598,2.8933
150,1.0147,2.3983
151,0.8780,2.0458
152,0.8116,2.2575
153,1.3262,2.8525
154,2.1868,3.8133
155,4.7555,5.9725
156,7.4312,8.4183
157,9.6262,10.1100
158,10.6820,10.7000
159,10.3161,10.6492
160,9.0959,10.6000
161,7.9542,10.6000
162,7.5939,10.6000
163,7.4881,10.6000
164,7.2320,9.9900
165,6.3288,8.8408
166,5.4115,7.6900
167,4.9754,7.2525
168,5.0411,6.8408
