time_h,T_air_C,T_out_C
1,6.4374,5.0000
2,6.3878,5.1000
3,6.2183,5.0000
4,6.3117,5.0000
5,6.3886,5.2000
6,6.5286,5.7000
7,6.6922,6.2000
8,6.8759,6.5000
9,7.4991,7.2000
10,8.9398,7.7000
11,10.4613,8.1000
12,11.0895,8.0000
13,11.1734,7.8000
14,10.7720,7.7000
15,9.9605,8.0000
16,8.9817,7.9000
17,8.4506,7.9000
18,8.0455,7.6000
19,7.8353,7.6000
20,7.1552,6.8000
21,7.1074,7.0000
22,7.0415,6.9000
23,7.1677,7.5000
24,7.2158,7.3000
25,6.9392,7.6000
26,7.0192,7.6000
27,7.0714,7.5000
28,7.2168,7.7000
29,7.5680,7.9000
30,7.6796,7.9000
31,7.9146,8.5000
32,8.1101,8.6000
33,8.3727,8.4000
34,9.1908,8.9000
35,10.2287,9.4000
36,10.9363,9.6000
37,11.1145,10.1000
38,11.1722,10.4000
39,11.0777,11.2000
40,10.5748,11.8000
41,10.1844,11.8000
42,10.0988,12.0000
43,10.3877,13.0000
44,10.8079,13.3000
45,11.0356,13.6000
46,11.1792,13.6000
47,11.3422,13.8000
48,11.7588,14.2000
49,11.5139,13.3000
50,11.0336,12.5000
51,10.4076,11.3000
52,9.5578,10.3000
53,9.0837,9.8000
54,8.9079,9.6000
55,8.6095,9.3000
56,8.2497,8.7000
57,8.9291,9.0000
58,10.1556,8.9000
59,10.9684,9.1000
60,11.6339,9.4000
61,13.0231,9.6000
62,12.3686,9.8000
63,10.9245,9.4000
64,9.6079,9.0000
65,8.8184,8.3000
66,8.3163,8.1000
67,8.2139,8.4000
68,8.2120,8.6000
69,8.0825,8.7000
70,8.1358,8.8000
71,8.2040,8.9000
72,8.1852,8.9000
73,8.2817,8.7000
74,8.2602,8.7000
75,8.1479,8.5000
76,8.2506,8.4000
77,8.4748,8.8000
78,8.5302,8.7000
79,8.5459,8.9000
80,8.7233,9.4000
81,9.2515,9.9000
82,10.2100,10.4000
83,11.2198,10.6000
84,12.1304,11.4000
85,12.5494,11.6000
86,12.4298,11.8000
87,12.0006,12.2000
88,11.3029,11.9000
89,10.8753,12.0000
90,10.8217,12.2000
91,10.8195,12.2000
92,10.7900,12.2000
93,10.7631,12.2000
94,10.6934,12.2000
95,10.5113,11.7000
96,10.3293,11.3000
97,10.2654,11.4000
98,10.2154,11.3000
99,10.1328,11.1000
100,10.0495,11.0000
101,9.8548,10.6000
102,9.7140,10.5000
103,9.5530,10.1000
104,9.3980,10.0000
105,9.6235,10.0000
106,10.2112,9.7000
107,10.8121,9.4000
108,11.1118,9.0000
109,11.2025,9.1000
110,11.0544,9.3000
111,10.4357,9.0000
112,9.7474,9.0000
113,9.3811,9.0000
114,9.2521,9.0000
115,9.2270,9.2000
116,9.2831,9.5000
117,9.5511,9.9000
118,9.7690,10.6000
119,9.8047,10.6000
120,8.9633,9.0000
121,7.7263,7.5000
122,6.8763,6.9000
123,6.6332,6.8000
124,7.0208,7.3000
125,6.4553,6.4000
126,6.2063,6.5000
127,6.0014,6.0000
128,5.8678,6.3000
129,6.6650,6.4000
130,8.6753,7.6000
131,11.0996,8.3000
132,12.4189,7.3000
133,13.1620,8.2000
134,12.6536,8.4000
135,11.2194,8.0000
136,9.4589,7.6000
137,8.2422,6.8000
138,7.6315,6.5000
139,7.2014,6.2000
140,6.8577,6.0000
141,6.5460,5.7000
142,6.8310,5.5000
143,6.9575,5.6000
144,6.7801,5.2000
145,6.6341,5.2000
146,5.8323,4.4000
147,4.8134,3.3000
148,4.0238,2.5000
149,3.7743,2.3000
150,3.4160,1.8000
151,3.6236,2.7000
152,3.6566,3.0000
153,4.9428,4.6000
154,8.0806,7.3000
155,11.6124,9.5000
156,14.1571,10.7000
157,15.1963,10.7000
158,14.7337,10.6000
159,12.9674,10.6000
160,10.8991,10.6000
161,9.8621,10.6000
162,9.5421,10.6000
163,8.9034,9.4000
164,8.1416,8.3000
165,7.3566,7.1000
166,7.2761,7.4000
167,6.8961,6.3000
168,6.7661,4.9000
