time_h,T_air_C,T_out_C
1,5.0796,6.1783
2,4.0854,4.9508
3,4.0363,5.0508
4,3.9071,5.0492
5,3.8194,5.0000
6,4.0634,5.1017
7,4.2656,5.4542
8,4.6257,5.9542
9,4.9272,6.3525
10,5.5206,6.8558
11,6.5836,7.4542
12,7.5583,7.9033
13,8.0664,8.0492
14,7.8882,7.8983
15,7.6227,7.7492
16,7.1089,7.8525
17,6.6408,7.9492
18,6.4325,7.9000
19,6.2695,7.7475
20,6.0411,7.6000
21,5.6037,7.1933
22,5.0143,6.9017
23,5.2823,6.9492
24,5.3122,7.2050
25,5.4863,7.3983
26,5.2598,7.4525
27,5.0926,7.6000
28,5.3932,7.5492
29,5.5158,7.6017
30,5.9646,7.8017
31,6.3639,7.9000
32,6.5237,8.2050
33,6.9079,8.5508
34,7.1520,8.4983
35,7.5029,8.6542
36,8.1426,9.1542
37,8.6798,9.5017
38,8.8810,9.8542
39,8.9274,10.2525
40,9.1850,10.8067
41,9.4173,11.5050
42,9.3482,11.8000
43,9.3595,11.9017
44,9.6683,12.5083
45,10.3144,13.1525
46,10.6672,13.4525
47,10.8816,13.6000
48,11.0541,13.7017
49,11.4179,14.0033
50,11.5983,13.7425
51,10.9684,12.8933
52,10.2565,11.8900
53,9.2440,10.7917
54,8.2709,10.0458
55,7.9915,9.6983
56,7.7367,9.4475
57,7.2298,8.9950
58,7.3619,8.8525
59,8.1105,8.9492
60,8.3582,9.0017
61,8.8088,9.2525
62,9.6787,9.5017
63,9.1182,9.7017
64,8.4209,9.5967
65,7.5125,9.1967
66,6.8895,8.6442
67,6.4986,8.1983
68,6.2957,8.2525
69,6.4994,8.5017
70,6.4856,8.6508
71,6.4799,8.7508
72,6.7445,8.8508
73,6.8130,8.9000
74,6.9109,8.7983
75,7.0736,8.7000
76,6.9641,8.5983
77,6.9908,8.4492
78,7.3088,8.6033
79,7.5405,8.7492
80,7.5674,8.8017
81,7.6850,9.1542
82,8.1192,9.6542
83,8.7601,10.1542
84,9.3861,10.5017
85,9.9209,11.0067
86,10.4043,11.5017
87,10.5321,11.7017
88,10.4722,12.0033
89,10.3810,12.0475
90,10.1881,11.9508
91,10.2138,12.1017
92,10.3342,12.2000
93,10.3593,12.2000
94,10.3584,12.2000
95,10.3295,12.2000
96,10.1699,11.9458
97,9.9104,11.4967
98,9.7682,11.3508
99,9.7428,11.3492
100,9.6616,11.1983
101,9.5557,11.0492
102,9.3830,10.7967
103,9.1022,10.5492
104,8.9486,10.2967
105,8.7209,10.0492
106,8.7382,10.0000
107,9.0656,9.8475
108,9.2788,9.5475
109,9.3573,9.1967
110,9.2700,9.0508
111,9.1662,9.2017
112,8.9461,9.1475
113,8.5283,9.0000
114,8.2739,9.0000
115,8.2242,9.0000
116,8.2492,9.1017
117,8.3363,9.3525
118,8.5915,9.7033
119,8.9743,10.2558
120,9.1644,10.6000
121,8.6496,9.7867
122,6.8660,8.2375
123,5.5340,7.1950
124,4.9594,6.8492
125,5.3168,7.0542
126,5.3549,6.8425
127,4.4596,6.4508
128,4.4160,6.2458
129,4.1694,6.1525
130,4.7351,6.3508
131,6.1432,7.0100
132,7.7806,7.9558
133,8.8235,7.7917
134,9.1313,7.7575
135,8.9966,8.3017
136,8.0102,8.1967
137,6.9271,7.7967
138,6.1212,7.1933
139,5.5284,6.6475
140,5.1225,6.3475
141,4.7508,6.0983
142,4.4282,5.8475
143,4.6083,5.5983
144,5.2548,5.5508
145,5.1861,5.3967
146,5.0360,5.2000
147,4.4073,4.7933
148,2.9283,3.8408
149,1.5124,2.8933
150,0.8669,2.3983
151,0.7404,2.0458
152,0.6998,2.2575
153,1.2413,2.8525
154,2.1015,3.8133
155,4.7235,5.9725
156,7.5335,8.4183
157,9.8771,10.1100
158,11.0941,10.7000
159,10.6857,10.6492
160,9.2514,10.6000
161,8.0546,10.6000
162,7.7460,10.6000
163,7.6668,10.6000
164,7.3724,9.9900
165,6.4172,8.8408
166,5.4628,7.6900
167,5.0354,7.2525
168,5.0864,6.8408
