time_h,T_air_C,T_out_C
1,5.2151,6.1783
2,4.0587,4.9508
3,4.0723,5.0508
4,3.9643,5.0492
5,3.8924,5.0000
6,4.1219,5.1017
7,4.3914,5.4542
8,4.8344,5.9542
9,5.2072,6.3525
10,5.8327,6.8558
11,6.7585,7.4542
12,7.4965,7.9033
13,7.7880,8.0492
14,7.5279,7.8983
15,7.2509,7.7492
16,6.8918,7.8525
17,6.6446,7.9492
18,6.5506,7.9000
19,6.4171,7.7475
20,6.2306,7.6000
21,5.7674,7.1933
22,5.2736,6.9017
23,5.5133,6.9492
24,5.6501,7.2050
25,5.8623,7.3983
26,5.6751,7.4525
27,5.6710,7.6000
28,5.8991,7.5492
29,6.0237,7.6017
30,6.4914,7.8017
31,6.8213,7.9000
32,7.0352,8.2050
33,7.4923,8.5508
34,7.6049,8.4983
35,7.8342,8.6542
36,8.4190,9.1542
37,8.8605,9.5017
38,9.0110,9.8542
39,9.2040,10.2525
40,9.6543,10.8067
41,10.0459,11.5050
42,10.0846,11.8000
43,10.1589,11.9017
44,10.6930,12.5083
45,11.4562,13.1525
46,11.7875,13.4525
47,11.9910,13.6000
48,12.1527,13.7017
49,12.5244,14.0033
50,12.5024,13.7425
51,11.6382,12.8933
52,10.7602,11.8900
53,9.6134,10.7917
54,8.7054,10.0458
55,8.4259,9.6983
56,8.1464,9.4475
57,7.6242,8.9950
58,7.6612,8.8525
59,8.1394,8.9492
60,8.2513,9.0017
61,8.6046,9.2525
62,9.3026,9.5017
63,8.8823,9.7017
64,8.3791,9.5967
65,7.6086,9.1967
66,7.0430,8.6442
67,6.6442,8.1983
68,6.5669,8.2525
69,6.8437,8.5017
70,6.8861,8.6508
71,6.9632,8.7508
72,7.2210,8.8508
73,7.2914,8.9000
74,7.3780,8.7983
75,7.4614,8.7000
76,7.3421,8.5983
77,7.3577,8.4492
78,7.6655,8.6033
79,7.8917,8.7492
80,7.8976,8.8017
81,8.1114,9.1542
82,8.6439,9.6542
83,9.2769,10.1542
84,9.7662,10.5017
85,10.2390,11.0067
86,10.7428,11.5017
87,10.8370,11.7017
88,10.8717,12.0033
89,10.8465,12.0475
90,10.6934,11.9508
91,10.8202,12.1017
92,10.9731,12.2000
93,10.9820,12.2000
94,10.9867,12.2000
95,10.9534,12.2000
96,10.7382,11.9458
97,10.4005,11.4967
98,10.2590,11.3508
99,10.2579,11.3492
100,10.1449,11.1983
101,10.0154,11.0492
102,9.7941,10.7967
103,9.5016,10.5492
104,9.3254,10.2967
105,9.0605,10.0492
106,9.0721,10.0000
107,9.2454,9.8475
108,9.2607,9.5475
109,9.1978,9.1967
110,9.0450,9.0508
111,8.9570,9.2017
112,8.8032,9.1475
113,8.4593,9.0000
114,8.2761,9.0000
115,8.2798,9.0000
116,8.3487,9.1017
117,8.5077,9.3525
118,8.8758,9.7033
119,9.3790,10.2558
120,9.6186,10.6000
121,8.8814,9.7867
122,6.9800,8.2375
123,5.6806,7.1950
124,5.1717,6.8492
125,5.5817,7.0542
126,5.5063,6.8425
127,4.7256,6.4508
128,4.6659,6.2458
129,4.4441,6.1525
130,4.9383,6.3508
131,6.0969,7.0100
132,7.5034,7.9558
133,8.2967,7.7917
134,8.4505,7.7575
135,8.3425,8.3017
136,7.4876,8.1967
137,6.6130,7.7967
138,5.9112,7.1933
139,5.3626,6.6475
140,5.0098,6.3475
141,4.6866,6.0983
142,4.3970,5.8475
143,4.5708,5.5983
144,5.1407,5.5508
145,5.0571,5.3967
146,4.9075,5.2000
147,4.2612,4.7933
148,2.7548,3.8408
149,1.3100,2.8933
150,0.6980,2.3983
151,0.5693,2.0458
152,0.6542,2.2575
153,1.2705,2.8525
154,2.1476,3.8133
155,4.6802,5.9725
156,7.4725,8.4183
157,9.8228,10.1100
158,10.9151,10.7000
159,10.3269,10.6492
160,9.0182,10.6000
161,8.3128,10.6000
162,8.2208,10.6000
163,8.2786,10.6000
164,7.8872,9.9900
165,6.8235,8.8408
166,5.7576,7.6900
167,5.3602,7.2525
168,5.3089,6.8408
