time_h,T_air_C,T_out_C
1,3.0427,2.4325
2,2.3514,1.3492
3,2.4512,1.2492
4,2.5255,1.1492
5,2.3202,0.9983
6,2.1420,0.9000
7,2.0937,0.9508
8,2.0460,0.7458
9,2.6248,0.6525
10,3.6303,0.9017
11,4.8600,1.4575
12,5.5328,2.1542
13,5.6044,2.4508
14,5.6245,2.6017
15,5.3397,2.7000
16,4.0177,2.7000
17,3.1217,2.3950
18,2.8476,2.1000
19,2.9630,2.1000
20,2.9560,2.1000
21,2.2481,1.5408
22,0.9980,0.7458
23,2.4797,2.3808
24,3.6469,3.8442
25,2.3449,2.6358
26,-0.7128,1.3933
27,-0.7787,1.3558
28,0.1219,2.2592
29,1.3728,2.8000
30,2.4136,2.8508
31,1.2226,2.7983
32,1.4265,2.2933
33,1.9464,1.8492
34,2.5582,1.2408
35,2.9903,1.9200
36,4.8802,4.2692
37,6.3913,6.1625
38,7.3825,7.3067
39,7.6459,7.8017
40,6.9703,7.4425
41,6.1984,7.2033
42,5.9652,6.6375
43,5.6154,5.0867
44,4.3488,3.3342
45,2.8815,1.5867
46,1.8677,0.4442
47,1.5594,0.1508
48,1.2881,-0.1558
49,0.5181,-0.0933
50,-0.5543,0.8083
51,1.2538,1.9608
52,2.5221,2.9050
53,2.4216,2.9458
54,2.4302,2.2933
55,1.9710,2.0017
56,2.2496,2.3033
57,3.5377,2.7542
58,4.6381,3.8642
59,7.3129,5.0558
60,7.9127,5.9083
61,7.7962,7.2642
62,8.7944,9.0658
63,8.8070,9.4917
64,7.9104,8.6442
65,8.0765,9.1642
66,8.3290,9.4408
67,7.2156,8.4425
68,6.9349,7.4917
69,6.1672,5.7800
70,3.8965,4.1425
71,3.6475,4.1067
72,3.5918,4.2967
73,2.8731,3.5917
74,2.3668,3.0492
75,2.0716,2.8983
76,2.2345,2.9525
77,2.2575,3.1000
78,1.9606,3.0492
79,1.6796,2.4917
80,1.7532,1.9492
81,2.9143,2.3067
82,4.2400,3.4625
83,5.6574,5.1658
84,6.7565,6.2017
85,7.8854,6.7575
86,9.3021,8.5725
87,9.5930,9.5950
88,7.5844,8.7917
89,5.5299,7.6392
90,4.1604,6.9492
91,2.6680,6.5950
92,3.2612,5.2833
93,4.2500,4.4525
94,4.0476,3.8883
95,3.6072,3.6575
96,2.9787,3.9983
97,3.1146,4.0017
98,4.4889,4.0492
99,4.2682,3.5425
100,3.6478,2.7442
101,3.1653,2.1967
102,2.8548,1.7967
103,2.7147,1.6508
104,3.0827,2.3608
105,3.6240,2.3900
106,4.1596,2.4608
107,5.7830,3.7608
108,7.4950,5.4167
109,8.7945,6.8575
110,9.1188,7.6558
111,8.9544,8.1017
112,8.3329,8.2000
113,7.0055,6.8783
114,5.7062,5.8033
115,5.5851,5.8475
116,5.2348,5.5475
117,4.8573,5.1458
118,4.3087,4.4425
119,3.9239,4.1017
120,3.7578,3.8950
121,3.1258,3.1933
122,2.7082,2.2917
123,2.7972,1.8508
124,2.7360,1.8492
125,2.6921,1.8508
126,2.5606,1.9000
127,2.5173,1.7983
128,2.5116,1.6492
129,2.9765,1.8542
130,4.3616,2.3033
131,6.0833,2.8050
132,7.7743,3.3542
133,9.0623,3.8542
134,8.7934,4.2017
135,7.8693,4.3000
136,6.5198,4.4017
137,5.3984,4.0933
138,4.3599,3.4967
139,3.4975,3.0967
140,2.8069,3.0017
141,2.5288,3.1000
142,2.2767,3.3033
143,2.1703,2.9917
144,1.8130,2.3983
145,1.6629,2.4525
146,1.5082,2.4983
147,1.5292,2.5017
148,1.8364,2.4475
149,2.2288,2.2492
150,2.2579,2.0475
151,2.1393,1.9508
152,2.3035,1.8983
153,2.9715,1.7492
154,4.3501,1.7000
155,5.7282,1.9033
156,7.3033,2.6083
157,8.2924,3.3542
158,8.4817,3.7525
159,7.7248,4.0017
160,5.9881,4.1000
161,4.5496,3.6425
162,3.3558,2.9967
163,2.8076,3.1050
164,2.4948,3.4508
165,1.9484,3.4492
166,1.7815,3.3492
167,1.2557,3.1475
168,0.8621,3.0000
