time_h,T_air_C,T_out_C
1,2.9329,2.4325
2,2.2102,1.3492
3,2.2960,1.2492
4,2.3621,1.1492
5,2.1538,0.9983
6,1.9851,0.9000
7,1.9423,0.9508
8,1.8965,0.7458
9,2.4406,0.6525
10,3.4554,0.9017
11,4.7268,1.4575
12,5.3720,2.1542
13,5.4133,2.4508
14,5.4430,2.6017
15,5.1995,2.7000
16,3.8570,2.7000
17,2.9750,2.3950
18,2.7279,2.1000
19,2.8503,2.1000
20,2.8521,2.1000
21,2.1000,1.5408
22,0.9095,0.7458
23,2.4332,2.3808
24,3.6146,3.8442
25,2.2233,2.6358
26,-0.7892,1.3933
27,-0.8088,1.3558
28,0.1226,2.2592
29,1.4534,2.8000
30,2.4154,2.8508
31,1.1607,2.7983
32,1.3272,2.2933
33,1.8542,1.8492
34,2.4418,1.2408
35,2.8744,1.9200
36,4.7759,4.2692
37,6.2803,6.1625
38,7.3177,7.3067
39,7.6481,7.8017
40,6.9625,7.4425
41,6.1700,7.2033
42,5.9517,6.6375
43,5.5709,5.0867
44,4.2540,3.3342
45,2.7576,1.5867
46,1.7391,0.4442
47,1.4403,0.1508
48,1.1573,-0.1558
49,0.3739,-0.0933
50,-0.6589,0.8083
51,1.2133,1.9608
52,2.4571,2.9050
53,2.3224,2.9458
54,2.3146,2.2933
55,1.8546,2.0017
56,2.1986,2.3033
57,3.4871,2.7542
58,4.7290,3.8642
59,7.8578,5.0558
60,8.0584,5.9083
61,7.7500,7.2642
62,8.7866,9.0658
63,8.8228,9.4917
64,7.9322,8.6442
65,8.1333,9.1642
66,8.3540,9.4408
67,7.1914,8.4425
68,6.9419,7.4917
69,6.1194,5.7800
70,3.9042,4.1425
71,3.6624,4.1067
72,3.6152,4.2967
73,2.8773,3.5917
74,2.3507,3.0492
75,2.0621,2.8983
76,2.2357,2.9525
77,2.2554,3.1000
78,1.9629,3.0492
79,1.6676,2.4917
80,1.7347,1.9492
81,2.8945,2.3067
82,4.2334,3.4625
83,5.6857,5.1658
84,6.8316,6.2017
85,7.9784,6.7575
86,9.5396,8.5725
87,9.9656,9.5950
88,7.8635,8.7917
89,5.6874,7.6392
90,4.2598,6.9492
91,2.8009,6.5950
92,3.3988,5.2833
93,4.3161,4.4525
94,4.0713,3.8883
95,3.6038,3.6575
96,2.9970,3.9983
97,3.2155,4.0017
98,4.5390,4.0492
99,4.2595,3.5425
100,3.6032,2.7442
101,3.1079,2.1967
102,2.7904,1.7967
103,2.6534,1.6508
104,3.0600,2.3608
105,3.5998,2.3900
106,4.2498,2.4608
107,5.8702,3.7608
108,7.5452,5.4167
109,8.7978,6.8575
110,9.1266,7.6558
111,8.9916,8.1017
112,8.3764,8.2000
113,6.9537,6.8783
114,5.6638,5.8033
115,5.5402,5.8475
116,5.1861,5.5475
117,4.7987,5.1458
118,4.2321,4.4425
119,3.8549,4.1017
120,3.6805,3.8950
121,3.0556,3.1933
122,2.7030,2.2917
123,2.7520,1.8508
124,2.6903,1.8492
125,2.6433,1.8508
126,2.5211,1.9000
127,2.4762,1.7983
128,2.4572,1.6492
129,2.9504,1.8542
130,4.4305,2.3033
131,6.1088,2.8050
132,7.7311,3.3542
133,8.9835,3.8542
134,8.7123,4.2017
135,7.8215,4.3000
136,6.4700,4.4017
137,5.3091,4.0933
138,4.2789,3.4967
139,3.4309,3.0967
140,2.7606,3.0017
141,2.5063,3.1000
142,2.2684,3.3033
143,2.1656,2.9917
144,1.7903,2.3983
145,1.6468,2.4525
146,1.4993,2.4983
147,1.5316,2.5017
148,1.8395,2.4475
149,2.2218,2.2492
150,2.2288,2.0475
151,2.1103,1.9508
152,2.2681,1.8983
153,2.9181,1.7492
154,4.2639,1.7000
155,5.5962,1.9033
156,7.1632,2.6083
157,8.1802,3.3542
158,8.4838,3.7525
159,7.8554,4.0017
160,6.0836,4.1000
161,4.5104,3.6425
162,3.3032,2.9967
163,2.7849,3.1050
164,2.4845,3.4508
165,1.9555,3.4492
166,1.7894,3.3492
167,1.2605,3.1475
168,0.8694,3.0000
