time_h,T_air_C,T_out_C
1,2.5260,2.4325
2,1.6827,1.3492
3,1.7582,1.2492
4,1.7863,1.1492
5,1.5870,0.9983
6,1.4376,0.9000
7,1.4130,0.9508
8,1.3574,0.7458
9,1.7005,0.6525
10,2.4867,0.9017
11,3.6013,1.4575
12,4.3221,2.1542
13,4.4127,2.4508
14,4.4302,2.6017
15,4.2130,2.7000
16,3.0882,2.7000
17,2.4161,2.3950
18,2.2311,2.1000
19,2.3913,2.1000
20,2.4224,2.1000
21,1.6058,1.5408
22,0.4939,0.7458
23,2.1366,2.3808
24,3.3344,3.8442
25,1.8793,2.6358
26,-0.8332,1.3933
27,-0.7756,1.3558
28,0.2441,2.2592
29,1.6361,2.8000
30,2.2575,2.8508
31,1.2015,2.7983
32,1.2548,2.2933
33,1.5931,1.8492
34,1.9127,1.2408
35,2.3221,1.9200
36,4.2248,4.2692
37,5.7261,6.1625
38,6.7398,7.3067
39,7.0541,7.8017
40,6.4209,7.4425
41,5.7203,7.2033
42,5.5961,6.6375
43,5.1827,5.0867
44,3.7987,3.3342
45,2.2490,1.5867
46,1.2278,0.4442
47,0.9557,0.1508
48,0.6621,-0.1558
49,-0.1094,-0.0933
50,-0.9362,0.8083
51,1.0604,1.9608
52,2.1594,2.9050
53,2.0476,2.9458
54,2.0949,2.2933
55,1.6044,2.0017
56,2.0410,2.3033
57,3.1435,2.7542
58,4.2328,3.8642
59,7.3977,5.0558
60,7.4769,5.9083
61,7.1467,7.2642
62,8.1765,9.0658
63,8.1923,9.4917
64,7.3683,8.6442
65,7.8321,9.1642
66,8.0345,9.4408
67,6.8387,8.4425
68,6.6646,7.4917
69,5.7541,5.7800
70,3.5795,4.1425
71,3.3730,4.1067
72,3.3678,4.2967
73,2.6261,3.5917
74,2.0612,3.0492
75,1.7945,2.8983
76,1.9917,2.9525
77,2.0356,3.1000
78,1.8048,3.0492
79,1.4620,2.4917
80,1.4643,1.9492
81,2.5232,2.3067
82,3.7974,3.4625
83,5.3104,5.1658
84,6.5736,6.2017
85,7.7549,6.7575
86,9.4439,8.5725
87,9.9167,9.5950
88,7.7315,8.7917
89,5.7246,7.6392
90,4.3985,6.9492
91,3.2767,6.5950
92,3.5833,5.2833
93,4.1362,4.4525
94,3.8221,3.8883
95,3.3333,3.6575
96,2.8300,3.9983
97,3.2592,4.0017
98,4.3075,4.0492
99,3.9607,3.5425
100,3.2630,2.7442
101,2.7550,2.1967
102,2.4334,1.7967
103,2.3117,1.6508
104,2.8028,2.3608
105,3.1586,2.3900
106,3.6568,2.4608
107,5.2368,3.7608
108,6.9486,5.4167
109,8.1983,6.8575
110,8.4716,7.6558
111,8.3411,8.1017
112,7.8130,8.2000
113,6.4120,6.8783
114,5.1924,5.8033
115,5.1024,5.8475
116,4.7619,5.5475
117,4.3727,5.1458
118,3.7858,4.4425
119,3.4335,4.1017
120,3.2509,3.8950
121,2.6603,3.1933
122,2.3915,2.2917
123,2.3227,1.8508
124,2.2845,1.8492
125,2.2531,1.8508
126,2.1734,1.9000
127,2.1226,1.7983
128,2.0792,1.6492
129,2.4527,1.8542
130,3.6340,2.3033
131,5.0606,2.8050
132,6.4945,3.3542
133,7.6382,3.8542
134,7.3906,4.2017
135,6.5728,4.3000
136,5.4985,4.4017
137,4.5761,4.0933
138,3.6735,3.4967
139,2.9186,3.0967
140,2.3152,3.0017
141,2.1395,3.1000
142,1.9921,3.3033
143,1.9148,2.9917
144,1.4982,2.3983
145,1.3974,2.4525
146,1.2911,2.4983
147,1.3618,2.5017
148,1.6562,2.4475
149,2.0205,2.2492
150,2.0029,2.0475
151,1.8746,1.9508
152,2.0152,1.8983
153,2.4217,1.7492
154,3.3210,1.7000
155,4.3433,1.9033
156,5.7830,2.6083
157,6.9338,3.3542
158,7.2227,3.7525
159,6.6247,4.0017
160,5.1111,4.1000
161,3.8381,3.6425
162,2.7773,2.9967
163,2.3570,3.1050
164,2.1678,3.4508
165,1.7977,3.4492
166,1.6567,3.3492
167,1.2157,3.1475
168,0.9072,3.0000
