time_h,T_air_C,T_out_C
1,5.8861,1.3000
2,5.8592,1.2000
3,5.6698,1.1000
4,5.3635,0.9000
5,5.2311,0.9000
6,5.0582,1.0000
7,5.0291,0.5000
8,5.6753,0.8000
9,6.9581,1.0000
10,8.6440,1.9000
11,9.6936,2.4000
12,10.1662,2.5000
13,9.9098,2.7000
14,9.1664,2.7000
15,8.1955,2.7000
16,6.9915,2.1000
17,5.9319,2.1000
18,5.5155,2.1000
19,5.1001,2.1000
20,4.2098,1.0000
21,3.4082,0.5000
22,4.0974,4.2000
23,4.0772,3.5000
24,3.1553,1.8000
25,2.4812,1.0000
26,2.7890,1.7000
27,3.2870,2.8000
28,3.5927,2.8000
29,3.7605,2.9000
30,3.9461,2.7000
31,3.9777,1.9000
32,4.5537,1.8000
33,5.7071,0.7000
34,8.0529,3.1000
35,10.6852,5.4000
36,12.4349,6.9000
37,13.2551,7.7000
38,12.3411,7.9000
39,9.5528,7.0000
40,7.4664,7.4000
41,5.7893,5.9000
42,4.5689,4.3000
43,3.7402,2.4000
44,2.9363,0.8000
45,2.3794,0.1000
46,2.0380,0.2000
47,1.9879,-0.5000
48,2.0680,0.3000
49,2.6691,1.3000
50,4.0990,2.6000
51,4.9877,3.2000
52,4.7972,2.7000
53,4.3552,1.9000
54,4.0558,2.1000
55,4.1338,2.5000
56,4.4387,3.0000
57,6.9586,4.7000
58,9.9562,5.4000
59,12.4544,6.4000
60,14.6972,8.1000
61,15.4681,10.0000
62,13.9967,9.0000
63,11.3161,8.3000
64,9.4580,10.0000
65,8.3748,8.9000
66,7.8429,8.0000
67,7.3698,7.0000
68,6.7440,4.6000
69,6.1902,3.7000
70,6.1770,4.5000
71,5.7931,4.1000
72,5.3052,3.1000
73,4.9406,3.0000
74,4.7888,2.8000
75,4.8975,3.1000
76,4.7035,3.1000
77,4.4872,3.0000
78,4.2189,2.0000
79,4.5426,1.9000
80,5.4257,2.7000
81,6.9407,4.2000
82,8.5010,6.1000
83,9.5317,6.3000
84,10.8391,7.2000
85,12.3062,9.9000
86,11.9859,9.3000
87,10.0391,8.3000
88,8.2929,7.0000
89,6.6233,6.9000
90,5.8333,6.3000
91,6.2445,4.3000
92,6.4061,4.6000
93,6.0817,3.2000
94,5.6877,4.1000
95,5.1390,3.9000
96,4.5194,4.1000
97,3.9933,4.0000
98,3.4516,3.1000
99,3.1160,2.4000
100,2.6943,2.0000
101,2.1860,1.6000
102,2.0892,1.7000
103,2.0958,3.0000
104,2.6204,1.8000
105,4.8333,3.1000
106,8.3976,4.4000
107,12.0754,6.4000
108,14.4893,7.3000
109,14.9310,8.0000
110,13.4601,8.2000
111,11.4539,8.2000
112,9.1121,5.6000
113,7.6776,6.0000
114,6.9383,5.7000
115,6.3418,5.4000
116,6.1883,4.9000
117,5.7237,4.0000
118,5.4932,4.2000
119,5.2102,3.6000
120,4.9824,2.8000
121,4.9230,1.8000
122,4.8556,1.9000
123,4.7869,1.8000
124,4.6686,1.9000
125,4.5624,1.9000
126,4.5322,1.7000
127,4.4245,1.6000
128,5.0908,2.1000
129,6.6874,2.5000
130,9.1225,3.1000
131,11.5577,3.6000
132,12.9323,4.1000
133,12.8809,4.3000
134,11.5333,4.3000
135,9.9229,4.5000
136,8.2418,3.7000
137,6.9115,3.3000
138,5.9909,2.9000
139,5.4633,3.1000
140,5.1557,3.1000
141,5.0143,3.5000
142,4.6349,2.5000
143,4.3613,2.3000
144,4.2119,2.6000
145,4.0166,2.4000
146,4.0999,2.6000
147,4.3136,2.3000
148,4.4073,2.2000
149,4.2637,1.9000
150,4.2831,2.0000
151,4.2997,1.8000
152,5.2543,1.7000
153,6.8758,1.7000
154,8.9897,2.1000
155,11.1616,3.1000
156,12.4485,3.6000
157,12.5561,3.9000
158,11.5760,4.1000
159,9.7206,4.1000
160,7.7258,3.2000
161,6.2988,2.8000
162,5.8232,3.4000
163,5.2294,3.5000
164,4.9547,3.4000
165,4.6028,3.3000
166,4.2120,3.0000
167,3.8989,3.0000
168,3.6998,3.0000
