time_h,T_air_C,T_out_C
1,-0.4229,-0.2542
2,-0.7317,-0.6525
3,-0.9173,-0.9017
4,-1.0401,-1.0000
5,-1.1266,-1.1017
6,-1.2751,-1.3017
7,-1.3990,-1.3492
8,-1.4269,-1.1475
9,-1.3883,-1.5083
10,-1.0726,-1.6442
11,-0.1729,-1.1475
12,0.5473,-1.0000
13,1.1315,-0.6442
14,1.5879,-0.1475
15,1.5285,0.0000
16,1.0684,0.0000
17,0.5397,0.0000
18,0.2161,0.0000
19,0.0129,-0.2033
20,-0.1287,-0.1967
21,-0.0454,0.0000
22,-0.2301,-0.2033
23,-0.3574,-0.1967
24,-0.2771,0.0000
25,-0.3221,0.0000
26,-0.4940,-0.2542
27,-0.8056,-0.7542
28,-0.9101,-0.7967
29,-0.8427,-0.8033
30,-1.0567,-1.0000
31,-1.1208,-1.0000
32,-1.1383,-1.0000
33,-1.2573,-1.5083
34,-1.1392,-1.9492
35,-0.5485,-1.9508
36,-0.0328,-2.0000
37,0.3911,-1.8475
38,0.5164,-1.8525
39,0.3846,-1.4917
40,0.1864,-1.2033
41,-0.3604,-1.1967
42,-0.5401,-1.0000
43,-0.6949,-1.1525
44,-0.8026,-1.1475
45,-1.0421,-1.5083
46,-1.5527,-1.8983
47,-1.6029,-1.9017
48,-1.7065,-2.0000
49,-1.7552,-1.9492
50,-1.7421,-1.9508
51,-1.9303,-2.0000
52,-1.9486,-2.0000
53,-1.9194,-2.0000
54,-1.9494,-2.0000
55,-2.1347,-2.4067
56,-2.5907,-2.9017
57,-2.8301,-3.0000
58,-2.1681,-3.0000
59,-0.3470,-2.4917
60,2.1165,-1.4917
61,4.1246,-0.7458
62,5.8781,0.7708
63,6.7465,3.5250
64,5.6286,4.7458
65,2.8172,3.2292
66,0.5810,1.4917
67,-0.4470,0.7458
68,-0.9265,0.2458
69,-1.5777,-0.5083
70,-2.0753,-0.4917
71,-1.7839,0.5083
72,-0.1222,3.0333
73,1.7759,5.0000
74,1.9910,5.0000
75,2.0682,5.0000
76,1.8372,4.2375
77,1.3007,4.2625
78,1.7590,5.0000
79,0.8133,3.5767
80,-0.1402,2.6067
81,0.6307,3.5083
82,2.9708,5.0167
83,6.6971,8.0333
84,10.6649,10.5083
85,12.9557,11.6608
86,14.3249,13.1642
87,14.2364,13.4917
88,12.3665,12.6950
89,10.1867,11.6883
90,8.7071,10.4917
91,7.8338,9.9492
92,7.3647,9.4425
93,6.3256,7.9833
94,5.4667,7.2542
95,5.4882,7.2458
96,4.8089,6.4917
97,4.3921,6.6608
98,4.5400,7.1475
99,4.5381,7.5083
100,4.7988,7.5425
101,4.1629,6.5408
102,3.5768,5.4917
103,2.6249,4.3900
104,1.7410,3.3933
105,1.8836,3.4067
106,4.2155,5.0200
107,7.8898,7.6233
108,11.4447,10.0167
109,13.8423,11.6608
110,14.9112,12.6558
111,14.6954,13.0000
112,13.1634,12.4917
113,11.1460,11.4917
114,9.9528,11.0000
115,9.1544,10.5933
116,8.4883,10.0983
117,7.8524,9.4917
118,7.0111,8.6950
119,6.8244,8.7050
120,6.6170,8.4917
121,6.1035,8.0508
122,5.9109,7.5408
123,5.1530,6.4917
124,4.7098,6.2033
125,4.3967,5.6883
126,4.0244,5.5083
127,4.5222,6.4575
128,4.9985,7.4592
129,5.9866,9.0167
130,7.3047,10.1525
131,8.7853,10.6558
132,10.5348,11.5083
133,11.7509,12.2542
134,12.1551,12.7542
135,11.9128,13.0000
136,11.0712,12.0342
137,10.3682,10.5408
138,9.5347,10.0000
139,8.0278,10.0508
140,7.8200,10.0492
141,7.6413,9.4917
142,7.2531,9.4575
143,7.5073,9.9508
144,7.5485,10.0000
145,7.3729,9.6442
146,6.4419,8.6392
147,5.7741,7.8983
148,5.8789,7.7492
149,6.0311,7.8525
150,6.6228,8.0000
151,7.1639,7.7458
152,6.4741,7.7542
153,6.6627,8.0000
154,6.9447,7.9492
155,7.3774,7.9508
156,7.9423,8.5083
157,8.5033,9.2033
158,8.7510,9.7050
159,8.7707,10.0000
160,8.5115,10.3050
161,8.0216,10.2950
162,7.7174,10.0000
163,7.9241,9.7458
164,7.7520,9.2458
165,6.8053,8.4917
166,5.6554,7.2883
167,4.8195,6.8033
168,4.5731,6.4917
