time_h,T_air_C,T_out_C
1,-0.6079,-0.2542
2,-0.9227,-0.6525
3,-1.1094,-0.9017
4,-1.2291,-1.0000
5,-1.3132,-1.1017
6,-1.4641,-1.3017
7,-1.5901,-1.3492
8,-1.6149,-1.1475
9,-1.5816,-1.5083
10,-1.2948,-1.6442
11,-0.4389,-1.1475
12,0.2076,-1.0000
13,0.7455,-0.6442
14,1.1841,-0.1475
15,1.1306,0.0000
16,0.7130,0.0000
17,0.2275,0.0000
18,-0.0541,0.0000
19,-0.2422,-0.2033
20,-0.3584,-0.1967
21,-0.2496,0.0000
22,-0.4396,-0.2033
23,-0.5568,-0.1967
24,-0.4597,0.0000
25,-0.5010,0.0000
26,-0.6790,-0.2542
27,-0.9995,-0.7542
28,-1.0904,-0.7967
29,-1.0138,-0.8033
30,-1.2336,-1.0000
31,-1.2919,-1.0000
32,-1.3038,-1.0000
33,-1.4417,-1.5083
34,-1.3693,-1.9492
35,-0.8433,-1.9508
36,-0.3974,-2.0000
37,-0.0239,-1.8475
38,0.0689,-1.8525
39,-0.0500,-1.4917
40,-0.1949,-1.2033
41,-0.6943,-1.1967
42,-0.8158,-1.0000
43,-0.9540,-1.1525
44,-1.0448,-1.1475
45,-1.2982,-1.5083
46,-1.8344,-1.8983
47,-1.8619,-1.9017
48,-1.9572,-2.0000
49,-1.9940,-1.9492
50,-1.9696,-1.9508
51,-2.1682,-2.0000
52,-2.1713,-2.0000
53,-2.1268,-2.0000
54,-2.1490,-2.0000
55,-2.3439,-2.4067
56,-2.8155,-2.9017
57,-3.0540,-3.0000
58,-2.4504,-3.0000
59,-0.6413,-2.4917
60,1.7410,-1.4917
61,3.6715,-0.7458
62,5.7018,0.7708
63,6.8067,3.5250
64,5.7329,4.7458
65,2.6911,3.2292
66,0.4116,1.4917
67,-0.6189,0.7458
68,-1.0894,0.2458
69,-1.7537,-0.5083
70,-2.2505,-0.4917
71,-1.9045,0.5083
72,-0.0311,3.0333
73,2.0549,5.0000
74,2.1415,5.0000
75,2.2276,5.0000
76,1.9151,4.2375
77,1.4060,4.2625
78,1.9178,5.0000
79,0.8546,3.5767
80,-0.1264,2.6067
81,0.7274,3.5083
82,3.2978,5.0167
83,7.4519,8.0333
84,11.5066,10.5083
85,13.5877,11.6608
86,14.9226,13.1642
87,14.7872,13.4917
88,12.7894,12.6950
89,10.4501,11.6883
90,8.9166,10.4917
91,8.0347,9.9492
92,7.5481,9.4425
93,6.4518,7.9833
94,5.5893,7.2542
95,5.6087,7.2458
96,4.8976,6.4917
97,4.5070,6.6608
98,4.6824,7.1475
99,4.7182,7.5083
100,4.9790,7.5425
101,4.2846,6.5408
102,3.6542,5.4917
103,2.6660,4.3900
104,1.7612,3.3933
105,1.9139,3.4067
106,4.4321,5.0200
107,8.4141,7.6233
108,11.9947,10.0167
109,14.2198,11.6608
110,15.2773,12.6558
111,15.1232,13.0000
112,13.5217,12.4917
113,11.3459,11.4917
114,10.1539,11.0000
115,9.3420,10.5933
116,8.6629,10.0983
117,8.0037,9.4917
118,7.1474,8.6950
119,6.9704,8.7050
120,6.7508,8.4917
121,6.2319,8.0508
122,6.0210,7.5408
123,5.2305,6.4917
124,4.7875,6.2033
125,4.4595,5.6883
126,4.0920,5.5083
127,4.6249,6.4575
128,5.1583,7.4592
129,6.2622,9.0167
130,7.5929,10.1525
131,8.9616,10.6558
132,10.5810,11.5083
133,11.6913,12.2542
134,12.0547,12.7542
135,11.8374,13.0000
136,10.9884,12.0342
137,10.2795,10.5408
138,9.4550,10.0000
139,8.0165,10.0508
140,7.8564,10.0492
141,7.6691,9.4917
142,7.2943,9.4575
143,7.5991,9.9508
144,7.6565,10.0000
145,7.4567,9.6442
146,6.4721,8.6392
147,5.7991,7.8983
148,5.9197,7.7492
149,6.0845,7.8525
150,6.7119,8.0000
151,7.2300,7.7458
152,6.5094,7.7542
153,6.7222,8.0000
154,6.9685,7.9492
155,7.3446,7.9508
156,7.8697,8.5083
157,8.4054,9.2033
158,8.6414,9.7050
159,8.6757,10.0000
160,8.4567,10.3050
161,8.0172,10.2950
162,7.7536,10.0000
163,7.9817,9.7458
164,7.7689,9.2458
165,6.7984,8.4917
166,5.6259,7.2883
167,4.8042,6.8033
168,4.5599,6.4917
