time_h,T_air_C,T_out_C
1,5.3446,-0.8000
2,5.0197,-1.0000
3,4.7577,-1.0000
4,4.4940,-1.2000
5,4.2321,-1.4000
6,4.1465,-1.3000
7,4.1115,-1.0000
8,3.7824,-2.0000
9,4.3612,-1.3000
10,5.5143,-1.0000
11,6.4995,-1.0000
12,7.3549,-0.3000
13,7.7468,0.0000
14,7.3320,0.0000
15,6.5608,0.0000
16,5.6353,0.0000
17,5.0215,0.0000
18,4.5996,-0.4000
19,4.4115,0.0000
20,4.3229,0.0000
21,4.1007,-0.4000
22,4.0466,0.0000
23,3.9899,0.0000
24,3.9206,0.0000
25,3.6994,-0.5000
26,3.3815,-1.0000
27,3.3322,-0.6000
28,3.1606,-1.0000
29,3.0423,-1.0000
30,2.9541,-1.0000
31,2.8916,-1.0000
32,2.6174,-2.0000
33,3.1146,-1.9000
34,4.0003,-2.0000
35,4.9212,-2.0000
36,5.5462,-1.7000
37,5.7325,-2.0000
38,5.6093,-1.0000
39,4.9151,-1.4000
40,4.0589,-1.0000
41,3.5085,-1.0000
42,3.1758,-1.3000
43,3.0535,-1.0000
44,2.7420,-2.0000
45,2.5895,-1.8000
46,2.3986,-2.0000
47,2.2953,-2.0000
48,2.2018,-1.9000
49,2.1274,-2.0000
50,2.0573,-2.0000
51,1.9539,-2.0000
52,1.8740,-2.0000
53,1.7728,-2.0000
54,1.5073,-2.8000
55,1.0987,-3.0000
56,1.0004,-3.0000
57,2.1630,-3.0000
58,4.7734,-2.0000
59,7.9989,-1.0000
60,10.6133,-0.5000
61,12.2879,2.0000
62,12.7836,5.0000
63,10.6316,4.5000
64,7.5681,2.0000
65,5.3664,1.0000
66,4.2426,0.5000
67,3.5460,0.0000
68,2.8370,-1.0000
69,2.6080,0.0000
70,2.8038,1.0000
71,4.3400,5.0000
72,4.9193,5.0000
73,4.8994,5.0000
74,4.9825,5.0000
75,4.3394,3.5000
76,4.5919,5.0000
77,4.4634,5.0000
78,3.4559,2.2000
79,3.2313,3.0000
80,4.0219,4.0000
81,6.5127,6.0000
82,10.7347,10.0000
83,14.7004,11.0000
84,17.9166,12.3000
85,19.6119,14.0000
86,18.3734,13.0000
87,15.9002,12.4000
88,13.2691,11.0000
89,11.2648,10.0000
90,10.3665,9.9000
91,9.6593,9.0000
92,8.5295,7.0000
93,8.2325,7.5000
94,7.8870,7.0000
95,7.2269,6.0000
96,7.2710,7.3000
97,7.0299,7.0000
98,7.3227,8.0000
99,7.0719,7.1000
100,6.6071,6.0000
101,6.0045,5.0000
102,5.2683,3.8000
103,4.7047,3.0000
104,5.1818,3.8000
105,7.6227,6.2000
106,11.4254,9.0000
107,15.4936,11.0000
108,18.5671,12.3000
109,19.6975,13.0000
110,18.8204,13.0000
111,16.4978,12.0000
112,13.9794,11.0000
113,12.3177,11.0000
114,11.2762,10.2000
115,10.6877,10.0000
116,9.9185,9.0000
117,9.3448,8.4000
118,9.2456,9.0000
119,8.7441,8.0000
120,8.5433,8.1000
121,8.0672,7.0000
122,7.4462,6.0000
123,7.2750,6.4000
124,6.7125,5.0000
125,6.7784,6.0000
126,7.0449,6.9000
127,7.4902,8.0000
128,8.4954,10.0000
129,9.8589,10.3000
130,12.1176,11.0000
131,14.3950,12.0000
132,15.8596,12.5000
133,16.1224,13.0000
134,15.2262,13.0000
135,13.2215,11.1000
136,11.3957,10.0000
137,10.4662,10.0000
138,10.0538,10.1000
139,9.8646,10.0000
140,9.3590,9.0000
141,9.3412,9.9000
142,9.3634,10.0000
143,9.3498,10.0000
144,8.9743,9.3000
145,8.2938,8.0000
146,8.0245,7.8000
147,7.9659,7.7000
148,8.0477,8.0000
149,8.1753,8.0000
150,8.1342,7.5000
151,8.2344,8.0000
152,8.3491,8.0000
153,8.8029,7.9000
154,9.6532,8.0000
155,10.7176,9.0000
156,11.5004,9.4000
157,11.8650,10.0000
158,11.6897,10.0000
159,11.0877,10.6000
160,10.1518,10.0000
161,9.7178,10.0000
162,9.6396,9.5000
163,9.1184,9.0000
164,8.3448,8.0000
165,7.3702,6.6000
166,7.0622,7.0000
167,6.6161,6.0000
168,6.3397,6.0000
