time_h,T_air_C,T_out_C
1,-0.8861,-0.2542
2,-1.2159,-0.6525
3,-1.4072,-0.9017
4,-1.5219,-1.0000
5,-1.5998,-1.1017
6,-1.7538,-1.3017
7,-1.8847,-1.3492
8,-1.8995,-1.1475
9,-1.8855,-1.5083
10,-1.7046,-1.6442
11,-0.9758,-1.1475
12,-0.4978,-1.0000
13,-0.0697,-0.6442
14,0.3459,-0.1475
15,0.3374,0.0000
16,0.0369,0.0000
17,-0.3421,0.0000
18,-0.5428,0.0000
19,-0.6911,-0.2033
20,-0.7572,-0.1967
21,-0.5916,0.0000
22,-0.7804,-0.2033
23,-0.8767,-0.1967
24,-0.7364,0.0000
25,-0.7636,0.0000
26,-0.9517,-0.2542
27,-1.2938,-0.7542
28,-1.3673,-0.7967
29,-1.2689,-0.8033
30,-1.4977,-1.0000
31,-1.5474,-1.0000
32,-1.5474,-1.0000
33,-1.7296,-1.5083
34,-1.7967,-1.9492
35,-1.4483,-1.9508
36,-1.1833,-2.0000
37,-0.9257,-1.8475
38,-0.8993,-1.8525
39,-0.9515,-1.4917
40,-0.9426,-1.2033
41,-1.3177,-1.1967
42,-1.3170,-1.0000
43,-1.4131,-1.1525
44,-1.4691,-1.1475
45,-1.7371,-1.5083
46,-2.3242,-1.8983
47,-2.3087,-1.9017
48,-2.3815,-2.0000
49,-2.3971,-1.9492
50,-2.3430,-1.9508
51,-2.5597,-2.0000
52,-2.5360,-2.0000
53,-2.4585,-2.0000
54,-2.4633,-2.0000
55,-2.6712,-2.4067
56,-3.1714,-2.9017
57,-3.4388,-3.0000
58,-3.0816,-3.0000
59,-1.5582,-2.4917
60,0.5415,-1.4917
61,2.2348,-0.7458
62,4.3930,0.7708
63,5.7279,3.5250
64,4.8923,4.7458
65,1.9997,3.2292
66,-0.2356,1.4917
67,-1.1682,0.7458
68,-1.5441,0.2458
69,-2.2003,-0.5083
70,-2.5866,-0.4917
71,-1.8972,0.5083
72,0.5771,3.0333
73,2.8911,5.0000
74,2.8644,5.0000
75,2.9545,5.0000
76,2.4007,4.2375
77,2.0637,4.2625
78,2.6752,5.0000
79,1.3674,3.5767
80,0.3262,2.6067
81,1.3128,3.5083
82,3.6440,5.0167
83,7.8455,8.0333
84,12.0225,10.5083
85,13.9583,11.6608
86,15.1053,13.1642
87,14.7651,13.4917
88,12.6601,12.6950
89,10.5012,11.6883
90,9.0990,10.4917
91,8.3261,9.9492
92,7.8675,9.4425
93,6.6232,7.9833
94,5.7926,7.2542
95,5.8451,7.2458
96,5.0794,6.4917
97,4.8493,6.6608
98,5.1630,7.1475
99,5.3427,7.5083
100,5.5696,7.5425
101,4.7463,6.5408
102,3.9497,5.4917
103,2.8596,4.3900
104,1.8854,3.3933
105,2.0087,3.4067
106,4.3593,5.0200
107,8.4166,7.6233
108,12.0269,10.0167
109,14.1112,11.6608
110,14.9958,12.6558
111,14.7729,13.0000
112,13.1802,12.4917
113,11.2114,11.4917
114,10.1507,11.0000
115,9.4335,10.5933
116,8.8160,10.0983
117,8.1611,9.4917
118,7.3078,8.6950
119,7.2130,8.7050
120,7.0046,8.4917
121,6.5043,8.0508
122,6.2273,7.5408
123,5.3322,6.4917
124,4.9155,6.2033
125,4.5475,5.6883
126,4.2214,5.5083
127,4.9247,6.4575
128,5.6692,7.4592
129,7.0237,9.0167
130,8.3208,10.1525
131,9.3863,10.6558
132,10.6739,11.5083
133,11.5768,12.2542
134,11.9130,12.7542
135,11.8756,13.0000
136,10.8383,12.0342
137,9.9765,10.5408
138,9.2381,10.0000
139,8.2279,10.0508
140,8.1981,10.0492
141,7.9213,9.4917
142,7.6315,9.4575
143,8.0749,9.9508
144,8.1729,10.0000
145,7.8909,9.6442
146,6.7896,8.6392
147,6.0886,7.8983
148,6.2022,7.7492
149,6.3906,7.8525
150,7.0163,8.0000
151,7.3547,7.7458
152,6.7014,7.7542
153,6.9710,8.0000
154,7.1000,7.9492
155,7.3097,7.9508
156,7.7667,8.5083
157,8.3101,9.2033
158,8.5822,9.7050
159,8.7041,10.0000
160,8.6510,10.3050
161,8.3851,10.2950
162,8.1831,10.0000
163,8.3614,9.7458
164,7.9986,9.2458
165,7.0177,8.4917
166,5.7718,7.2883
167,5.0344,6.8033
168,4.7861,6.4917
