time_h,T_air_C,T_out_C
1,5.3446,-0.8000
2,5.0197,-1.0000
3,4.7577,-1.0000
4,4.4940,-1.2000
5,4.2321,-1.4000
6,4.1465,-1.3000
7,4.1115,-1.0000
8,3.7824,-2.0000
9,4.3612,-1.3000
10,5.5143,-1.0000
11,6.4995,-1.0000
12,7.3549,-0.3000
13,7.7468,0.0000
14,7.3320,0.0000
15,6.5608,0.0000
16,5.6353,0.0000
17,5.0215,0.0000
18,4.5996,-0.4000
19,4.4115,0.0000
20,4.3229,0.0000
21,4.1008,-0.4000
22,4.0465,0.0000
23,3.9898,0.0000
24,3.9205,0.0000
25,3.6994,-0.5000
26,3.3816,-1.0000
27,3.3322,-0.6000
28,3.1607,-1.0000
29,3.0423,-1.0000
30,2.9541,-1.0000
31,2.8915,-1.0000
32,2.6178,-2.0000
33,3.1148,-1.9000
34,4.0003,-2.0000
35,4.9221,-2.0000
36,5.5465,-1.7000
37,5.7330,-2.0000
38,5.6089,-1.0000
39,4.9151,-1.4000
40,4.0583,-1.0000
41,3.5085,-1.0000
42,3.1759,-1.3000
43,3.0537,-1.0000
44,2.7423,-2.0000
45,2.5895,-1.8000
46,2.3985,-2.0000
47,2.2953,-2.0000
48,2.2019,-1.9000
49,2.1274,-2.0000
50,2.0574,-2.0000
51,1.9539,-2.0000
52,1.8740,-2.0000
53,1.7728,-2.0000
54,1.5074,-2.8000
55,1.0987,-3.0000
56,1.0016,-3.0000
57,2.1630,-3.0000
58,4.7734,-2.0000
59,7.9988,-1.0000
60,10.6128,-0.5000
61,12.2895,2.0000
62,12.7841,5.0000
63,10.6317,4.5000
64,7.5685,2.0000
65,5.3667,1.0000
66,4.2428,0.5000
67,3.5462,0.0000
68,2.8374,-1.0000
69,2.6081,0.0000
70,2.8038,1.0000
71,4.3400,5.0000
72,4.9194,5.0000
73,4.8995,5.0000
74,4.9821,5.0000
75,4.3394,3.5000
76,4.5918,5.0000
77,4.4634,5.0000
78,3.4562,2.2000
79,3.2310,3.0000
80,4.0213,4.0000
81,6.5127,6.0000
82,10.7361,10.0000
83,14.7009,11.0000
84,17.9169,12.3000
85,19.6120,14.0000
86,18.3741,13.0000
87,15.9005,12.4000
88,13.2691,11.0000
89,11.2654,10.0000
90,10.3666,9.9000
91,9.6593,9.0000
92,8.5295,7.0000
93,8.2326,7.5000
94,7.8870,7.0000
95,7.2265,6.0000
96,7.2708,7.3000
97,7.0299,7.0000
98,7.3229,8.0000
99,7.0719,7.1000
100,6.6072,6.0000
101,6.0045,5.0000
102,5.2684,3.8000
103,4.7046,3.0000
104,5.1812,3.8000
105,7.6226,6.2000
106,11.4256,9.0000
107,15.4935,11.0000
108,18.5672,12.3000
109,19.6979,13.0000
110,18.8206,13.0000
111,16.4979,12.0000
112,13.9793,11.0000
113,12.3176,11.0000
114,11.2763,10.2000
115,10.6879,10.0000
116,9.9185,9.0000
117,9.3448,8.4000
118,9.2456,9.0000
119,8.7443,8.0000
120,8.5433,8.1000
121,8.0672,7.0000
122,7.4462,6.0000
123,7.2750,6.4000
124,6.7124,5.0000
125,6.7784,6.0000
126,7.0449,6.9000
127,7.4904,8.0000
128,8.4956,10.0000
129,9.8590,10.3000
130,12.1177,11.0000
131,14.3949,12.0000
132,15.8596,12.5000
133,16.1225,13.0000
134,15.2263,13.0000
135,13.2219,11.1000
136,11.3958,10.0000
137,10.4662,10.0000
138,10.0539,10.1000
139,9.8646,10.0000
140,9.3590,9.0000
141,9.3411,9.9000
142,9.3635,10.0000
143,9.3498,10.0000
144,8.9742,9.3000
145,8.2940,8.0000
146,8.0246,7.8000
147,7.9661,7.7000
148,8.0477,8.0000
149,8.1754,8.0000
150,8.1344,7.5000
151,8.2345,8.0000
152,8.3490,8.0000
153,8.8028,7.9000
154,9.6532,8.0000
155,10.7171,9.0000
156,11.5002,9.4000
157,11.8647,10.0000
158,11.6898,10.0000
159,11.0877,10.6000
160,10.1518,10.0000
161,9.7176,10.0000
162,9.6395,9.5000
163,9.1184,9.0000
164,8.3448,8.0000
165,7.3704,6.6000
166,7.0622,7.0000
167,6.6161,6.0000
168,6.3397,6.0000
