climate,size,RMSE_C,bias_C,mean_JL_C,mean_EP_C,max_JL_C,max_EP_C
brussels,small,2.017,1.361,9.243,7.882,15.197,12.524
brussels,medium,2.065,1.616,9.243,7.627,15.196,11.598
brussels,large,2.086,1.674,9.243,7.568,15.196,11.226
lyon,small,3.916,3.277,7.846,4.569,19.698,15.105
lyon,medium,3.768,3.257,7.846,4.589,19.697,15.277
lyon,large,3.761,3.273,7.846,4.573,19.697,14.911
chambery,small,3.497,2.841,6.630,3.789,15.468,9.917
chambery,medium,3.106,2.432,6.630,4.198,15.469,9.966
chambery,large,3.099,2.420,6.630,4.210,15.469,9.593
almeria,small,6.204,5.495,18.954,13.459,33.158,25.652
almeria,medium,5.864,5.129,18.954,13.826,33.159,25.839
almeria,large,5.987,5.231,18.954,13.723,33.159,25.627
